Postcode,Bedrooms,2021,2022,2023,2024
2000,0,568.75,489.375,600.8333333333334,515.8333333333334
2000,1,517.5641025641025,646.5086206896551,809.9512195121952,773.1111111111111
2000,2,874.0178571428571,1047.7536231884058,1150.1866666666667,1350.657894736842
2000,3,1101.516129032258,1416.4864864864865,1659.4444444444443,1926.6363636363637
2000,4,1330.4545454545455,1499.375,1530.0,1884.5833333333333
2000,5,1975.0,2900.0,2912.8571428571427,
2000,6,,,,3600.0
2000,U,,731.2903225806451,879.6875,
2007,0,,450.0,410.0,600.0
2007,1,373.4,449.9019607843137,542.8703703703703,532.1212121212121
2007,2,635.0,714.2424242424242,849.375,1098.103448275862
2007,3,858.8235294117648,939.8684210526316,1200.3846153846155,1174.4
2007,4,890.5,1011.7857142857143,1356.0,1500.0
2007,5,925.0,1214.2857142857142,1800.0,
2007,6,1000.0,1300.0,2250.0,1300.0
2007,7,,,,1350.0
2007,U,390.0,946.0,560.0,
2008,0,615.0,531.4285714285714,464.375,553.75
2008,1,400.9428571428571,477.2845528455285,610.637168141593,491.4078947368421
2008,11,,2800.0,,
2008,2,665.2197802197802,728.7777777777778,861.8032786885246,951.9620253164557
2008,3,854.8387096774194,904.0,1069.5762711864406,1202.4
2008,4,994.0833333333334,1139.1346153846155,1397.162162162162,1350.138888888889
2008,5,980.0,1017.7777777777778,1395.7142857142858,565.9677419354839
2008,U,765.0,666.4285714285714,565.5,
2009,1,493.65384615384613,591.55,673.0952380952381,696.6666666666666
2009,10,2300.0,,,
2009,2,732.7868852459017,799.8958333333334,942.4590163934427,997.9166666666666
2009,3,1128.9583333333333,1215.483870967742,1316.025641025641,1473.2758620689656
2009,4,1057.142857142857,2191.25,1500.0,1824.2857142857142
2009,5,,1433.3333333333333,,1850.0
2009,7,,,2500.0,
2009,U,,695.0,993.0,
2010,0,397.4074074074074,422.3333333333333,560.1428571428571,554.0
2010,1,483.43575418994413,529.5424836601308,585.7894736842105,650.0598290598291
2010,2,730.2640845070423,802.8478260869565,907.2898550724638,1003.6302083333334
2010,3,996.6857142857143,1142.7248677248676,1270.863387978142,1405.388888888889
2010,4,1140.4166666666667,1214.3238095238096,1401.9444444444443,1639.5070422535211
2010,5,1276.0,1751.3157894736842,1658.6666666666667,1741.6666666666667
2010,6,1500.0,2100.0,2325.0,2300.0
2010,7,,1900.0,,
2010,9,,1000.0,2565.0,
2010,U,670.0,695.8863636363636,733.695652173913,
2011,0,363.5416666666667,400.40816326530614,490.22727272727275,531.6666666666666
2011,1,563.9830508474577,532.2413793103449,654.8780487804878,687.1232876712329
2011,12,,3000.0,,
2011,2,733.1914893617021,905.2131147540983,1063.423076923077,1127.5
2011,3,1090.4545454545455,1086.0416666666667,1302.1739130434783,1533.2
2011,4,1711.0,1592.5,1644.4444444444443,1693.3333333333333
2011,5,2800.0,1726.6666666666667,800.0,3000.0
2011,6,,,,2500.0
2011,9,,1700.0,,
2011,U,275.0,571.4285714285714,682.5,
2012,2,,570.0,,
2015,0,,360.0,,1037.5
2015,1,515.6896551724138,539.1666666666666,637.1875,660.6896551724138
