Property locality,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aarons Pass,,,725000.0,520000.0,675000.0,365000.0,752666.6666666666,,600000.0,
Abbotsbury,,,1116166.6666666667,928554.3103448276,1136295.4545454546,1323954.5454545454,1708585.3658536586,1612625.0,1492461.5384615385,
Abbotsford,,,1467000.0,2504136.3636363638,2479360.0,3786802.0833333335,3330537.037037037,3591069.7674418604,3634221.875,
Abercrombie,,,396666.6666666667,558259.0909090909,478469.5652173913,609481.4814814815,719192.1891891892,666794.1176470588,788218.75,
Abercrombie River,,,,,165000.0,340000.0,718500.0,762500.0,340000.0,
Aberdare,,,403250.0,389585.71428571426,355420.0,502325.0,629265.306122449,640440.487804878,605355.5555555555,
Aberdeen,,,432000.0,294842.85714285716,601169.1846153847,6781714.330097088,500564.74358974356,609818.6818181818,799974.4680851063,1382500.0
Aberfoyle,,2241.0,7100000.0,2032229.5,1162500.0,,4925000.0,5220370.25,3000000.0,
Aberglasslyn,,194000.0,338259.31111111114,378154.92488262913,461108.77419354836,647492.1568627451,777319.6850393701,808408.9423076923,814959.2276422764,850000.0
Abermain,,,300608.3333333333,414186.0465116279,352435.18518518517,484970.53571428574,648604.6511627907,624644.2307692308,632830.7692307692,
Abernethy,,,,375500.0,405000.0,455714.28571428574,775000.0,550000.0,806666.6666666666,
Abington,,,28594.0,,1400000.0,1400000.0,,,14500000.0,
Acacia Creek,1447.5,,,209.0,,595000.0,,540000.0,,
Acacia Gardens,,,646666.6666666666,811736.3636363636,839652.7777777778,1173074.985915493,1427924.1136363635,1238119.2786885246,1355931.5555555555,
Adaminaby,,6046.0,264166.6666666667,221952.94736842104,247538.46153846153,456365.75,733000.0,857461.5384615385,844833.3333333334,
Adamstown,,,900500.0,982336.3157894737,780984.0,1005699.8557692308,1154688.2352941176,1170585.593220339,1083091.5232558139,1160000.0
Adamstown Heights,,,700471.8,771554.4554455446,792785.7142857143,958780.4024390244,1103609.0449438202,1066970.4545454546,1186950.0117647059,1090000.0
Adelong,1155.0,,140000.0,226340.9090909091,220838.88888888888,280557.69444444444,416600.0,391520.8333333333,323500.0,
Adjungbilly,,,25233.5,,4671500.0,9063850.0,,1406325.3333333333,1623500.0,
Afterlee,,,545000.0,458666.6666666667,45000.0,808800.0,1476250.0,157666.66666666666,27500.0,
Agnes Banks,,,1302500.0,1168529.4117647058,1532928.5714285714,1505719.0,1813888.888888889,1514181.8181818181,1464217.2,
Airds,630000.0,,611750.0,455678.5714285714,518685.18518518517,534860.5145631068,601292.6829268293,619611.3173076923,661289.7196261683,
Akolele,,,2500000.0,447250.0,549333.3333333334,636500.0,816250.0,705500.0,1925000.0,
Albert,,,10312.0,296783.25,609463.0,1667923.875,1896490.3333333333,838441.1428571428,1375000.0,
Albion Park,395000.0,558791.6666666666,652674.1935483871,621794.3377777778,583382.8012048192,768728.8778409091,858169.069124424,878722.0,898436.4106280194,850000.0
Albion Park Rail,,,564333.3333333334,533325.9493670886,603231.3953488372,802616.6666666666,855080.9361702128,803933.9846153846,886801.0752688173,700000.0
Albury,,,7239650.0,605013.6326530612,632551.2233009709,961140.9090909091,1162198.0694444445,986155.3928571428,1023617.7777777778,
Aldavilla,19522.0,2479.0,330000.0,410453.63636363635,422937.5,561764.7058823529,515250.0,741111.1111111111,633416.6666666666,
Alectown,,,640000.0,475259.44444444444,550000.0,2403500.0,957214.2857142857,856500.0,873250.0,
Alexandria,,1745500.0,5432333.333333333,1897906.4385964912,1870621.6769230769,2187564.714285714,2590362.75,9293925.3,3808065.8983050846,
Alfords Point,,,945000.0,1220648.6666666667,1385564.1025641025,1689764.0263157894,1582411.5185185184,1752200.0,1838259.2592592593,
Alfredtown,,,,445830.0,,240000.0,767500.0,,2100000.0,
Alice,,,,,30000.0,,6728413.0,,,
Alison,,,,292400.0,1438333.3333333333,1426875.0,191500.0,1162382.75,1239440.0,
Allambie Heights,,,1461800.0,1662769.6621621621,1802317.2716049382,2581955.102040816,2420452.8873239434,2502484.403846154,2523290.051948052,
Allandale,,,,,9571250.0,1433333.3333333333,,1725000.0,1600000.0,
Allawah,,,1317500.0,1381781.8181818181,1058062.5,1653416.3076923077,1359500.0,1718281.25,2384562.5,
Alleena,,235000.0,154610.66666666666,205500.0,330880.6666666667,479300.0,1690996.0,2143934.8,,
Allgomera,,,350000.0,154000.0,210000.0,615000.0,1005000.0,,1055000.0,
Allworth,,,692500.0,187300.0,362500.0,457500.0,1080000.0,,510000.0,
Allynbrook,,,,1450000.0,1807000.0,885000.0,,1436666.6666666667,1320000.0,
Alma Park,,,,1077666.6666666667,2371510.0,,8120000.0,,3194570.0,
Alpine,,,,,1356000.0,3111000.0,,6132661.333333333,1915000.0,
Alstonvale,,,,1003162.8571428572,1023416.6666666666,2537857.1428571427,1787000.0,1676785.7142857143,1695000.0,
Alstonville,367400.0,,611416.6666666666,682900.9367088608,704439.3939393939,932265.3163265307,1064671.8076923077,979514.575,1003000.0,1016666.6666666666
Alumy Creek,,,600000.0,677000.0,1175000.0,599000.0,911000.0,890000.0,750000.0,
Amaroo,,,,,1452500.0,,,,,
Ambarvale,,,530000.0,530588.75,571837.196969697,698943.1237113402,781167.472972973,761057.6923076923,848245.4418604651,
Amosfield,,,,,460000.0,,321000.0,350000.0,,
Anabranch North,,,,,,,2996667.0,,,
Anabranch South,,,,260000.0,263000.0,537500.0,,106780.0,685824.4285714285,
Anambah,,,,,4457142.857142857,396037.2727272727,498672.63157894736,511242.85714285716,359564.51612903224,
Ando,,,,360000.0,,200000.0,325500.0,293333.3333333333,2378000.0,
Anembo,,,2038.0,263333.3333333333,375000.0,118974.6,756500.0,92135.42857142857,,
Angledale,,,,457500.0,940000.0,1300000.0,1635000.0,,1738000.0,
Angledool,,,,15000.0,,8000.0,1339558.625,29033.333333333332,1877950.0,
Anglers Reach,,220000.0,245000.0,162565.83333333334,360500.0,328857.14285714284,396666.6666666667,426714.28571428574,501166.6666666667,
Angourie,,,,1742500.0,1512500.0,2950000.0,3650000.0,1750000.0,2423333.3333333335,
Angus,,,,,,600000.0,845866.6666666666,575666.6666666666,676645.8333333334,
Anna Bay,290000.0,,515250.0,649150.9433962264,741171.2352941176,997506.3291139241,1077467.213114754,985394.2978723404,1114430.8,
